order_book_id,datetime,close,low,total_turnover,open_interest,trading_date,volume,high,open
IF2309,2023-06-05 14:43:00,3812.0,3812.0,18300180.0,74650.0,2023-06-05,16.0,3812.8,3812.0
IF2309,2023-06-05 14:44:00,3812.0,3811.4,29732880.0,74658.0,2023-06-05,26.0,3812.6,3812.0
IF2309,2023-06-05 14:45:00,3812.0,3812.0,11437680.0,74664.0,2023-06-05,10.0,3812.8,3812.8
IF2309,2023-06-05 14:46:00,3812.2,3812.0,34314000.0,74679.0,2023-06-05,30.0,3813.0,3812.8
IF2309,2023-06-05 14:47:00,3812.8,3811.8,46892580.0,74686.0,2023-06-05,41.0,3812.8,3811.8
IF2309,2023-06-05 14:48:00,3812.6,3811.2,42320040.0,74682.0,2023-06-05,37.0,3813.2,3812.8
IF2309,2023-06-05 14:49:00,3810.8,3810.8,36590460.0,74683.0,2023-06-05,32.0,3812.6,3812.4
IF2309,2023-06-05 14:50:00,3811.8,3810.4,29726760.0,74678.0,2023-06-05,26.0,3811.8,3810.8
IF2309,2023-06-05 14:51:00,3810.6,3809.8,113169000.0,74661.0,2023-06-05,99.0,3811.8,3811.8
IF2309,2023-06-05 14:52:00,3810.6,3810.2,42297960.0,74667.0,2023-06-05,37.0,3811.2,3810.6
IF2309,2023-06-05 14:53:00,3810.2,3809.8,22861680.0,74675.0,2023-06-05,20.0,3810.8,3810.8
IF2309,2023-06-05 14:54:00,3811.0,3810.0,33151860.0,74678.0,2023-06-05,29.0,3811.0,3810.4
IF2309,2023-06-05 14:55:00,3812.6,3811.6,36597900.0,74699.0,2023-06-05,32.0,3812.6,3811.6
IF2309,2023-06-05 14:56:00,3812.4,3812.0,36601260.0,74702.0,2023-06-05,32.0,3813.0,3812.8
IF2309,2023-06-05 14:57:00,3813.8,3812.8,73218360.0,74706.0,2023-06-05,64.0,3814.0,3812.8
IF2309,2023-06-05 14:58:00,3812.0,3811.4,57182940.0,74718.0,2023-06-05,50.0,3813.8,3813.8
IF2309,2023-06-05 14:59:00,3811.0,3810.2,121195440.0,74670.0,2023-06-05,106.0,3812.2,3811.4
IF2309,2023-06-05 15:00:00,3811.0,3810.4,69741420.0,74668.0,2023-06-05,61.0,3811.4,3811.0
IF2309,2023-06-06 09:31:00,3802.6,3800.8,225966120.0,74579.0,2023-06-06,198.0,3808.0,3808.0
IF2309,2023-06-06 09:32:00,3807.4,3802.4,144943500.0,74496.0,2023-06-06,127.0,3807.4,3803.6
IF2309,2023-06-06 09:33:00,3804.6,3801.4,130104300.0,74440.0,2023-06-06,114.0,3807.0,3807.0
IF2309,2023-06-06 09:34:00,3803.0,3801.0,101517660.0,74405.0,2023-06-06,89.0,3804.0,3803.6
IF2309,2023-06-06 09:35:00,3805.8,3801.6,84425700.0,74378.0,2023-06-06,74.0,3806.0,3803.0
IF2309,2023-06-06 09:36:00,3805.8,3804.8,127908540.0,74341.0,2023-06-06,112.0,3808.4,3805.2
IF2309,2023-06-06 09:37:00,3804.6,3804.2,109607700.0,74306.0,2023-06-06,96.0,3806.8,3806.0
IF2309,2023-06-06 09:38:00,3807.4,3803.4,73063500.0,74288.0,2023-06-06,64.0,3807.4,3804.0
IF2309,2023-06-06 09:39:00,3808.0,3806.4,54833640.0,74271.0,2023-06-06,48.0,3809.0,3808.0
IF2309,2023-06-06 09:40:00,3806.6,3804.8,46815720.0,74259.0,2023-06-06,41.0,3808.2,3808.2
IF2309,2023-06-06 09:41:00,3809.2,3806.2,57120540.0,74232.0,2023-06-06,50.0,3809.4,3806.4
IF2309,2023-06-06 09:42:00,3811.0,3807.6,92582640.0,74213.0,2023-06-06,81.0,3811.6,3808.4
IF2309,2023-06-06 09:43:00,3811.0,3809.0,76585140.0,74197.0,2023-06-06,67.0,3811.6,3811.6
IF2309,2023-06-06 09:44:00,3807.2,3807.2,57130320.0,74178.0,2023-06-06,50.0,3810.6,3810.4
IF2309,2023-06-06 09:45:00,3804.4,3804.4,97065720.0,74133.0,2023-06-06,85.0,3808.8,3807.2
IF2309,2023-06-06 09:46:00,3804.8,3803.2,54790860.0,74106.0,2023-06-06,48.0,3806.6,3804.4
IF2309,2023-06-06 09:47:00,3805.2,3804.2,47938980.0,74089.0,2023-06-06,42.0,3805.2,3804.8
IF2309,2023-06-06 09:48:00,3801.8,3801.4,55896420.0,74075.0,2023-06-06,49.0,3805.4,3805.4
IF2309,2023-06-06 09:49:00,3798.6,3797.2,191456460.0,74015.0,2023-06-06,168.0,3802.2,3802.2
IF2309,2023-06-06 09:50:00,3796.2,3794.0,110464320.0,73996.0,2023-06-06,97.0,3798.6,3798.6
IF2309,2023-06-06 09:51:00,3792.6,3791.4,171861000.0,73943.0,2023-06-06,151.0,3796.6,3795.4
IF2309,2023-06-06 09:52:00,3794.6,3792.2,100145460.0,73927.0,2023-06-06,88.0,3795.0,3792.6
IF2309,2023-06-06 09:53:00,3793.8,3793.0,63738240.0,73921.0,2023-06-06,56.0,3795.8,3794.4
IF2309,2023-06-06 09:54:00,3795.8,3793.4,61482780.0,73923.0,2023-06-06,54.0,3796.8,3793.4
IF2309,2023-06-06 09:55:00,3793.6,3793.4,35291460.0,73920.0,2023-06-06,31.0,3796.2,3796.0
IF2309,2023-06-06 09:56:00,3796.0,3793.0,99069600.0,73909.0,2023-06-06,87.0,3797.0,3793.0
IF2309,2023-06-06 09:57:00,3798.0,3796.2,54674100.0,73911.0,2023-06-06,48.0,3798.0,3796.8
IF2309,2023-06-06 09:58:00,3797.6,3796.0,51266340.0,73898.0,2023-06-06,45.0,3799.2,3798.6
IF2309,2023-06-06 09:59:00,3797.0,3796.2,22781940.0,73899.0,2023-06-06,20.0,3798.0,3797.6
IF2309,2023-06-06 10:00:00,3799.2,3797.2,92305800.0,73896.0,2023-06-06,81.0,3800.2,3797.2
IF2309,2023-06-06 10:01:00,3803.4,3798.4,132299400.0,73856.0,2023-06-06,116.0,3803.6,3798.4
IF2309,2023-06-06 10:02:00,3805.0,3803.8,100467720.0,73833.0,2023-06-06,88.0,3806.8,3803.8
IF2309,2023-06-06 10:03:00,3803.0,3801.8,110690760.0,73811.0,2023-06-06,97.0,3805.0,3804.8
IF2309,2023-06-06 10:04:00,3800.6,3800.0,34207200.0,73800.0,2023-06-06,30.0,3801.6,3801.6
IF2309,2023-06-06 10:05:00,3801.2,3799.0,39898980.0,73796.0,2023-06-06,35.0,3801.2,3801.0
IF2309,2023-06-06 10:06:00,3803.8,3801.6,36515820.0,73794.0,2023-06-06,32.0,3805.2,3801.6
IF2309,2023-06-06 10:07:00,3801.4,3800.6,25091460.0,73793.0,2023-06-06,22.0,3803.0,3803.0
IF2309,2023-06-06 10:08:00,3804.6,3800.4,71876220.0,73776.0,2023-06-06,63.0,3804.6,3801.0
IF2309,2023-06-06 10:09:00,3805.0,3803.2,52505580.0,73775.0,2023-06-06,46.0,3806.0,3804.2
IF2309,2023-06-06 10:10:00,3809.0,3806.0,82259700.0,73763.0,2023-06-06,72.0,3810.0,3806.0
IF2309,2023-06-06 10:11:00,3816.6,3809.0,291853500.0,73703.0,2023-06-06,255.0,3818.0,3809.4
IF2309,2023-06-06 10:12:00,3818.8,3816.0,198181440.0,73659.0,2023-06-06,173.0,3820.6,3816.0
IF2309,2023-06-06 10:13:00,3821.0,3818.8,165069360.0,73631.0,2023-06-06,144.0,3822.8,3819.0
IF2309,2023-06-06 10:14:00,3822.2,3821.0,124997700.0,73628.0,2023-06-06,109.0,3823.6,3821.0
IF2309,2023-06-06 10:15:00,3824.6,3821.2,137640120.0,73629.0,2023-06-06,120.0,3825.4,3823.0
IF2309,2023-06-06 10:16:00,3830.8,3824.8,767485140.0,73582.0,2023-06-06,668.0,3831.8,3824.8
IF2309,2023-06-06 10:17:00,3830.8,3830.2,526512360.0,73668.0,2023-06-06,458.0,3833.8,3831.2
IF2309,2023-06-06 10:18:00,3829.0,3828.0,147047640.0,73685.0,2023-06-06,128.0,3831.4,3830.8
IF2309,2023-06-06 10:19:00,3831.2,3827.6,159696960.0,73662.0,2023-06-06,139.0,3831.8,3829.0
IF2309,2023-06-06 10:20:00,3828.4,3828.2,237898680.0,73634.0,2023-06-06,207.0,3832.8,3830.6
IF2309,2023-06-06 10:21:00,3832.4,3830.0,197718780.0,73658.0,2023-06-06,172.0,3833.2,3830.0
IF2309,2023-06-06 10:22:00,3831.2,3831.2,337037640.0,73667.0,2023-06-06,293.0,3836.0,3833.0
IF2309,2023-06-06 10:23:00,3835.2,3830.8,192053340.0,73691.0,2023-06-06,167.0,3835.8,3831.2
IF2309,2023-06-06 10:24:00,3836.6,3834.6,200286120.0,73693.0,2023-06-06,174.0,3838.8,3835.6
IF2309,2023-06-06 10:25:00,3831.6,3831.2,93189000.0,73717.0,2023-06-06,81.0,3838.0,3837.0
IF2309,2023-06-06 10:26:00,3828.4,3828.2,121787460.0,73740.0,2023-06-06,106.0,3832.0,3832.0
IF2309,2023-06-06 10:27:00,3829.0,3827.4,72350760.0,73765.0,2023-06-06,63.0,3829.0,3828.2
IF2309,2023-06-06 10:28:00,3827.2,3826.6,71194560.0,73770.0,2023-06-06,62.0,3830.0,3829.0
IF2309,2023-06-06 10:29:00,3825.6,3825.0,119370540.0,73804.0,2023-06-06,104.0,3828.4,3828.0
IF2309,2023-06-06 10:30:00,3827.0,3826.0,79224600.0,73827.0,2023-06-06,69.0,3828.0,3826.2
IF2309,2023-06-06 10:31:00,3827.4,3826.8,29853960.0,73839.0,2023-06-06,26.0,3828.2,3827.4
IF2309,2023-06-06 10:32:00,3822.8,3822.4,105540060.0,73852.0,2023-06-06,92.0,3827.2,3827.2
IF2309,2023-06-06 10:33:00,3826.0,3822.0,80314320.0,73879.0,2023-06-06,70.0,3826.8,3822.8
IF2309,2023-06-06 10:34:00,3824.6,3824.2,322546380.0,74036.0,2023-06-06,281.0,3828.4,3825.6
IF2309,2023-06-06 10:35:00,3827.4,3822.8,166426500.0,74099.0,2023-06-06,145.0,3827.4,3824.2
IF2309,2023-06-06 10:36:00,3825.2,3825.2,102178200.0,74158.0,2023-06-06,89.0,3828.6,3827.8
IF2309,2023-06-06 10:37:00,3823.0,3820.6,175431780.0,74202.0,2023-06-06,153.0,3825.0,3825.0
IF2309,2023-06-06 10:38:00,3819.0,3818.6,135233520.0,74273.0,2023-06-06,118.0,3823.2,3823.2
IF2309,2023-06-06 10:39:00,3817.8,3817.8,104252340.0,74323.0,2023-06-06,91.0,3819.8,3818.6
IF2309,2023-06-06 10:40:00,3817.6,3816.6,93922860.0,74368.0,2023-06-06,82.0,3819.6,3817.4
IF2309,2023-06-06 10:41:00,3819.0,3816.4,104281800.0,74430.0,2023-06-06,91.0,3821.2,3817.0
IF2309,2023-06-06 10:42:00,3821.0,3818.2,60739980.0,74467.0,2023-06-06,53.0,3821.6,3818.2
IF2309,2023-06-06 10:43:00,3823.0,3820.0,64202400.0,74495.0,2023-06-06,56.0,3823.0,3821.0
IF2309,2023-06-06 10:44:00,3822.8,3821.8,75700560.0,74521.0,2023-06-06,66.0,3825.0,3823.0
IF2309,2023-06-06 10:45:00,3820.8,3820.0,20632860.0,74527.0,2023-06-06,18.0,3822.4,3822.4
IF2309,2023-06-06 10:46:00,3822.4,3820.8,26373180.0,74537.0,2023-06-06,23.0,3823.4,3820.8
IF2309,2023-06-06 10:47:00,3820.0,3820.0,27514500.0,74542.0,2023-06-06,24.0,3822.6,3822.6
IF2309,2023-06-06 10:48:00,3821.0,3819.8,38983740.0,74566.0,2023-06-06,34.0,3823.0,3819.8
